epoch;loss;val_loss
0;0.5869867205619812;0.43159496784210205
1;0.4011850953102112;0.32241329550743103
2;0.29200416803359985;0.2424125224351883
3;0.2342473417520523;0.21440976858139038
4;0.2129002958536148;0.20078930258750916
5;0.19747112691402435;0.18801552057266235
6;0.1858907788991928;0.1793762892484665
7;0.17690922319889069;0.17180094122886658
8;0.16947348415851593;0.1653253436088562
9;0.1636180281639099;0.1609017550945282
10;0.15935932099819183;0.15692920982837677
11;0.15611064434051514;0.15529046952724457
12;0.15299460291862488;0.15175476670265198
13;0.1500890851020813;0.14974530041217804
14;0.14770634472370148;0.1473286747932434
15;0.14540326595306396;0.14577054977416992
16;0.1434108465909958;0.14363858103752136
17;0.14170604944229126;0.14227774739265442
18;0.1397540271282196;0.1398782730102539
19;0.13791584968566895;0.13863804936408997
20;0.13628719747066498;0.1376277059316635
21;0.1349909007549286;0.13629916310310364
22;0.13366419076919556;0.13466952741146088
23;0.13223999738693237;0.13367611169815063
24;0.13083861768245697;0.13241150975227356
25;0.1299114227294922;0.13115182518959045
26;0.12879399955272675;0.13102827966213226
27;0.12781797349452972;0.1296500414609909
28;0.12687885761260986;0.12826932966709137
29;0.12569841742515564;0.1277512013912201
30;0.12504547834396362;0.12818656861782074
31;0.12460798025131226;0.1258266717195511
32;0.12324407696723938;0.12515079975128174
33;0.12255649268627167;0.1250273436307907
34;0.12170866876840591;0.12375422567129135
Anomaly percentage = 0.4509166666666667
