epoch;loss;val_loss
0;0.0686519593000412;0.059971410781145096
1;0.058761727064847946;0.05745605379343033
2;0.05739670246839523;0.057083044201135635
3;0.05652308091521263;0.05602922663092613
4;0.05570148676633835;0.0563826709985733
5;0.05495253950357437;0.054160237312316895
6;0.054283224046230316;0.053797993808984756
7;0.05362478271126747;0.053243983536958694
8;0.05306994542479515;0.05232857167720795
9;0.052476588636636734;0.053343962877988815
Anomaly percentage = 0.0506666666666666650;0.0688161700963974;0.06517699360847473
1;0.06480997800827026;0.06490913033485413
2;0.06437482684850693;0.06442651152610779
3;0.0638657659292221;0.06323542445898056
4;0.06279173493385315;0.06236309930682182
5;0.06158382073044777;0.0602559931576252
6;0.06011857092380524;0.059001099318265915
7;0.05937518924474716;0.05864907428622246
8;0.057253219187259674;0.05430693179368973
9;0.05220676586031914;0.050194498151540756
