epoch;acc;loss;val_acc;val_loss
0;0.38499999046325684;5.012087821960449;0.2985074520111084;1.263229489326477
1;0.35499998927116394;4.2925214767456055;0.28358209133148193;1.0829453468322754
2;0.41499999165534973;2.780595064163208;0.28358209133148193;1.0907490253448486
3;0.33000001311302185;1.5038708448410034;0.28358209133148193;1.0956122875213623
4;0.3100000023841858;1.5445904731750488;0.28358209133148193;1.089402198791504
5;0.3799999952316284;1.6033204793930054;0.28358209133148193;1.0904027223587036
6;0.29499998688697815;1.3043283224105835;0.28358209133148193;1.090869665145874
7;0.30000001192092896;1.2569175958633423;0.28358209133148193;1.0906037092208862
8;0.24500000476837158;1.1618770360946655;0.28358209133148193;1.0917744636535645
9;0.3100000023841858;1.1368756294250488;0.28358209133148193;1.0929585695266724
10;0.29499998688697815;1.1228199005126953;0.28358209133148193;1.090572476387024
11;0.33000001311302185;1.1041251420974731;0.28358209133148193;1.0887569189071655
12;0.3700000047683716;1.2980722188949585;0.28358209133148193;1.0891108512878418
13;0.3100000023841858;1.1005266904830933;0.28358209133148193;1.0887261629104614
14;0.29499998688697815;1.2076646089553833;0.2537313401699066;1.0950937271118164
15;0.3700000047683716;1.2149219512939453;0.26865673065185547;1.0951625108718872
16;0.26499998569488525;1.1313836574554443;0.2537313401699066;1.0969175100326538
17;0.36500000953674316;1.1171401739120483;0.31343284249305725;1.0969034433364868
18;0.3499999940395355;1.1141211986541748;0.3283582031726837;1.095894455909729
19;0.3449999988079071;1.1146162748336792;0.3283582031726837;1.0946396589279175
0;0.3149999976158142;4.2260050773620605;0.31343284249305725;1.1334929466247559
1;0.33000001311302185;3.6882288455963135;0.31343284249305725;1.2750310897827148
2;0.3100000023841858;3.454556465148926;0.31343284249305725;1.2517653703689575
3;0.2800000011920929;3.1605803966522217;0.31343284249305725;1.2071596384048462
4;0.35499998927116394;3.2031335830688477;0.31343284249305725;1.1387314796447754
5;0.3149999976158142;2.976806640625;0.31343284249305725;1.121239185333252
6;0.33000001311302185;2.0780904293060303;0.31343284249305725;1.1090588569641113
7;0.3400000035762787;1.8877525329589844;0.31343284249305725;1.1009345054626465
8;0.30000001192092896;1.9454319477081299;0.31343284249305725;1.0973039865493774
9;0.25999999046325684;1.7021762132644653;0.31343284249305725;1.0958294868469238
10;0.3199999928474426;1.384559988975525;0.31343284249305725;1.0939356088638306
11;0.30000001192092896;1.4415867328643799;0.31343284249305725;1.0924055576324463
12;0.38999998569488525;1.4736195802688599;0.31343284249305725;1.0927027463912964
13;0.35499998927116394;1.1877379417419434;0.31343284249305725;1.0898805856704712
14;0.30000001192092896;1.5047082901000977;0.31343284249305725;1.0901023149490356
15;0.3100000023841858;1.296147108078003;0.31343284249305725;1.0905215740203857
16;0.35499998927116394;1.586870551109314;0.31343284249305725;1.0903339385986328
17;0.2800000011920929;1.3061041831970215;0.31343284249305725;1.0899534225463867
18;0.3149999976158142;1.5668329000473022;0.31343284249305725;1.0888574123382568
19;0.3149999976158142;1.445914626121521;0.31343284249305725;1.089307427406311
